,logFC,logCPM,LR,PValue,padjFilter,FDR
IFITM3,1.55297492467595,12.4751595817505,294.240950399436,8.68831354513099e-62,4.70906594146099e-59,4.70906594146099e-59
IFI6,1.86553456601236,12.4055481855685,146.876270039072,2.68696419892598e-32,7.28167297908939e-30,7.28167297908939e-30
RPS4Y1,-1.80494884536113,11.5150484716284,131.750163864888,2.05058469912291e-29,3.70472302308205e-27,3.70472302308205e-27
RPL23,-0.634461314153369,12.2194041303993,93.5570116937893,1.05388249558829e-21,1.42801078152213e-19,1.42801078152213e-19
FTH1,0.609450919291149,13.8844507830684,87.7212060178122,1.76534604824673e-20,1.91363511629946e-18,1.91363511629946e-18
CST3,0.741602613843173,12.6183367370888,86.0287610911728,4.15083442071802e-20,3.74958709338194e-18,3.74958709338194e-18
LGALS1,-0.614741402707765,12.813450189152,84.8530008305704,7.78366144696606e-20,5.29713855100291e-18,5.29713855100291e-18
FTL,0.600331021100372,14.1397065921137,84.7967408865652,7.81865468782718e-20,5.29713855100291e-18,5.29713855100291e-18
MT1X,1.20316365356582,11.5672008568566,79.7135286259556,1.10454523885034e-18,6.65181688285428e-17,6.65181688285428e-17
BRI3,0.838607765894556,11.4064012129125,70.6173464891597,7.72781298608573e-17,4.18847463845847e-15,4.18847463845847e-15
IGFBP2,0.735320908953591,12.7513705384215,65.8368003814687,8.28486302673605e-16,4.08217796408267e-14,4.08217796408267e-14
RPL15,-0.391019974642829,12.9582172306113,63.090702254588,3.08141518283541e-15,1.39177252424733e-13,1.39177252424733e-13
RPS3A,-0.412340078292368,13.1755726779988,57.8437627904455,4.12803785354933e-14,1.72107424355672e-12,1.72107424355672e-12
GPX4,0.619601171736417,11.8203188350433,55.2389330544593,1.58720560800545e-13,6.14475313956398e-12,6.14475313956398e-12
RPL5,-0.448902487307769,12.697538456206,54.7392349840206,1.93378961567263e-13,6.98742647796377e-12,6.98742647796377e-12
RPS24,-0.424189712565025,12.8563168600958,54.4136709903123,2.26734699822433e-13,7.68063795648490e-12,7.68063795648490e-12
C11orf96,0.964280521674735,11.8508598171837,53.1290934190222,4.8083866348876e-13,1.53302679771122e-11,1.53302679771122e-11
RPS23,-0.345229558572392,13.4945751148089,51.7824102240595,8.39598977283093e-13,2.52812580937465e-11,2.52812580937465e-11
PLN,0.71668006281304,11.7673793937352,50.0979152274184,2.02458627961387e-12,5.7753987555301e-11,5.7753987555301e-11
RPL34,-0.357768814270489,13.2565982313831,48.8826982720454,3.56306033190115e-12,9.65589349945211e-11,9.65589349945211e-11
ADH5,0.816017029486741,11.3534245400197,48.7949592306074,3.84446257515727e-12,9.92237483683448e-11,9.92237483683448e-11
RPL37A,-0.349719005528072,13.1939386408691,47.9843406702471,5.57654363197269e-12,1.37385756751327e-10,1.37385756751327e-10
CYBRD1,0.838374686302208,11.3792772310621,47.7077280044473,6.73000457817411e-12,1.58594020929146e-10,1.58594020929146e-10
ADH1B,0.890950825351673,11.8100245605705,44.3397382794966,3.79399220912018e-11,8.56809907226308e-10,8.56809907226308e-10
MYL9,0.555581184904648,12.8709721320586,40.9864972394741,1.86474978744658e-10,4.04277753918419e-09,4.04277753918419e-09
NUPR1,0.631798527523018,11.479522986857,39.8555496020867,3.30995515470667e-10,6.89998343788853e-09,6.89998343788853e-09
TIMP1,0.70579935553649,12.4679098399213,39.6250290545722,3.72821900219808e-10,7.48405444144947e-09,7.48405444144947e-09
RPS29,-0.376200918898841,12.6846968439226,39.2695877701458,4.4158157241232e-10,8.54775758026706e-09,8.54775758026706e-09
SELENOM,0.509503084567565,11.9936184790216,38.1300535027043,8.01968215084434e-10,1.44063929955631e-08,1.44063929955631e-08
HNRNPA1,-0.506324650434307,11.9245585864155,38.0895022578886,8.02096668189907e-10,1.44063929955631e-08,1.44063929955631e-08
LMCD1,0.704672596557661,11.3867334645922,38.0756306409478,8.23981887200103e-10,1.44063929955631e-08,1.44063929955631e-08
ANXA1,0.524292646305855,11.7848644316156,37.9318988021332,8.7043986573089e-10,1.4743075225817e-08,1.4743075225817e-08
TPT1,-0.311384579187095,14.1401173152295,36.5016350868482,1.77882148704336e-09,2.80151696945957e-08,2.80151696945957e-08
MALAT1,1.1627565742877,13.4087105865893,36.485085859812,1.82455592924043e-09,2.80151696945957e-08,2.80151696945957e-08
SPARCL1,0.587470836691669,12.2117519520481,36.5020384108919,1.82820617036128e-09,2.80151696945957e-08,2.80151696945957e-08
MGP,0.533694960242244,15.5023208959608,36.4125287993452,1.86078617897683e-09,2.80151696945957e-08,2.80151696945957e-08
CTGF,0.8131400627667,11.9762692403336,36.4220492828264,1.94566296245238e-09,2.85013331256538e-08,2.85013331256538e-08
RPL27A,-0.344024200124145,12.4217977945053,35.941201377113,2.36245682193238e-09,3.36960946707197e-08,3.36960946707197e-08
RPS6,-0.327759189675891,12.9962743073513,35.2715768589881,3.31048909942941e-09,4.60073100484806e-08,4.60073100484806e-08
RPL37,-0.333917835873562,12.9911629323326,35.0483622779523,3.70551112702878e-09,5.00387610658198e-08,5.00387610658198e-08
RPL39,-0.353900524616815,12.6285570519121,35.0086535118169,3.78521993302327e-09,5.00387610658198e-08,5.00387610658198e-08
NPC2,0.747374426495626,11.2890833965546,34.8570576384463,4.14446375052301e-09,5.3483317923416e-08,5.3483317923416e-08
MFGE8,0.718565720524942,11.7856764188809,34.5485854112868,4.93050798582284e-09,6.21473332166507e-08,6.21473332166507e-08
TMSB4X,-0.348615478483244,14.5725362102561,33.8150663831157,6.91758672171142e-09,8.52120909810816e-08,8.52120909810816e-08
TUBA1B,-0.661478690649524,11.8415266192512,33.3825750170965,8.77903401215472e-09,1.05738587435286e-07,1.05738587435286e-07
RPS27,-0.309607774651384,13.3821822400436,32.8708371189844,1.11666801039586e-08,1.31572622094468e-07,1.31572622094468e-07
ALDH2,0.668133969861754,11.2553683502312,32.8005713895994,1.16603512347733e-08,1.34466178069088e-07,1.34466178069088e-07
TOMM7,-0.357752690752565,12.2118315714637,32.4058002086756,1.41559534836277e-08,1.59844308085962e-07,1.59844308085962e-07
RGS5,-0.564555833239168,12.6216593573308,32.2210380533087,1.58115085272029e-08,1.74894645341714e-07,1.74894645341714e-07
TRMT112,0.656924238562904,11.2519225526791,31.5547011332989,2.19065733860096e-08,2.37467255504344e-07,2.37467255504344e-07
UBC,0.525566384928,11.7426785904372,31.4643420270618,2.29324373055681e-08,2.43713353325841e-07,2.43713353325841e-07
IFITM2,0.630396204514292,11.4410611465223,30.9755305318537,2.94946812487236e-08,3.07425331477081e-07,3.07425331477081e-07
UQCRB,-0.402553012452997,12.1188497670869,30.7159231407597,3.3412419030823e-08,3.41689266315209e-07,3.41689266315209e-07
FRZB,0.664385435498218,11.740411683387,30.692948539399,3.45722803100588e-08,3.47003257926886e-07,3.47003257926886e-07
TAGLN,0.416727133840735,14.4882955999904,29.9950258694748,4.81531629145214e-08,4.74527532721283e-07,4.74527532721283e-07
SKP1,0.442882916496674,11.778418100096,29.4299985452039,6.43101169392563e-08,6.22430060376374e-07,6.22430060376374e-07
